Sample,Cohort,Labeling,datatype,(2 and/or 3-)Phosphoglyceric_acid,D-Glyceraldehyde_3-phosphate,Dihydroxyacetone_phosphate,Glycerol_3-phosphate,Hexose,Hexose bisphosphate,Hexose/inositol-phosphate,L-Lactic_acid,Phosphoenolpyruvic_acid,Pyruvic_acid,Sorbitol,Aconitic acid (cis and/or trans),Citric_acid,Fumaric_acid,L-Malic_acid,Oxalacetic_acid,Oxoglutaric_acid,Succinic_acid
Cortex -O2 24 hrs 13C,Cor -O2 24 hrs,Labeled,FracCont,0,0.60888435,0.313577330666667,0.12362867,0.0198610656666667,0.136460125466667,0.183438298833333,0.701504539666667,0.222477689666667,0.147650227666667,0.00057599253,0.0739705561333333,0.0869094553333333,0.17337647325,0.18614735875,0,0.1783422858,0.1800452245
Medulla -O2 24 hrs 13C,Med -O2 24 hrs,Labeled,FracCont,0,0.396396146,0.390503045666667,0.231556123666667,0.775665441666667,0.205052370666667,0.289054301666667,0.855507369,0.361164353333333,0.399245823666667,0.00858933962,0.400749043833333,0.526139866166667,0.4536569745,0.45802123775,0.0054582881286,0.3349013714,0.39601846325
Cortex +O2 24 hrs 13C,Cor +O2 24 hrs,Labeled,FracCont,0.0584208127333333,0.247568450333333,0.295641277,0.121559376,0.0643248855,0.0522554946666667,0.216323286833333,0.837934863333333,0.226688014,0.204704905333333,0.00589888989666667,0.1009389795,0.271969857666667,0.19610868375,0.26178112075,0,0.1780771522,0.2853077985
Medulla +O2 24 hrs 13C,Med +O2 24 hrs,Labeled,FracCont,0,0.768191469333333,0.205382887666667,0.060847366,0.0174897039333333,0.0683830931333333,0.0172059756666667,0.737611547,0.0857637623333333,0.055821239,0.0181878833666667,0.0870867455233333,0.0372987145,0.07020506225,0.1450821135,0,0.2394299166,0.08734905125
Cortex -O2 24 hrs 13C,Cor -O2 24 hrs,Labeled,Isotopologues,0|0|0|0,0.290636618|0|0.284955871|0.424407511,0.676148318|0|0.019776771|0.304074911,0.875296244|0|0.003051987|0.121651769,0.969345946|0|0.011827784|0.004428259|0.000205416|0|0.014192595,0.5726881173|0|0.419220133|0.001472341|0.004261625|0.002357785|0,0.610150966|0.078628687|0.083437329|0.134334403|0.039243556|0.030081339|0.02412372,0.235121452|0.065011749|0.060098527|0.639768272,0.759712035|0.024830142|0.003770539|0.211687283,0.81887572|0.041720434|0.016981289|0.122422557,0.99912887467|0.000169888|0|4.64728e-05|0|0|0.000654765,0.7465056546|0|0.25189103|0|2.56333e-05|0.001577682|0,0.801530079|0.065664351|0.050896026|0.006886355|0.055802492|0|0.019220696,0.700488866|0.074777276|0.090452862|0.099301095|0.034979902,0.677700279|0.081411064|0.097869907|0.104636443|0.038382307,0.9991983645|0|0.000801619|0|1.72288e-08,0.603725914|0|0.3290981|0.023073393|0.042197319|0.001905274,0.688025751|0.079914418|0.093246851|0.101479146|0.037333835
Medulla -O2 24 hrs 13C,Med -O2 24 hrs,Labeled,Isotopologues,0.99957004677|0|0.000429953|0,0.592359875|0|0|0.407640125,0.60612114|0|0|0.393878861,0.76689211|0|0.001343944|0.231763946,0.220625035|0|0.001375693|0.000809577|0.0020165|0.009352162|0.765821033,0.652472152|0|0.070442477|0.172149795|0|0|0.104935575,0.550500313|0.024915286|0.029741061|0.223986995|0.01768703|0.011796599|0.141372717,0.125002024|0.018719909|0.021032003|0.835246064,0.638021125|0|0.002023862|0.359955013,0.594145346|0.005974171|0.007878149|0.392002334,0.99115968574|0|0|0|0.000216326|8.80947e-05|0.008535893,0.382688756|0.008381418|0.181130175|0.061675723|0.127021252|0.093875744|0.145226933,0.201613488|0.035739869|0.172649138|0.098326216|0.171911395|0.12538254|0.194377354,0.382266657|0.061224203|0.170333353|0.131966155|0.254209631,0.374904464|0.063334222|0.17098295|0.136328623|0.25444974,0.9999802096724|0|1.69696e-05|2.82068e-06|0,0.528236601|0.031447055|0.072161153|0.121991975|0.098054504|0.148108711,0.471135426|0.054874996|0.115864388|0.135030679|0.223094511
Cortex +O2 24 hrs 13C,Cor +O2 24 hrs,Labeled,Isotopologues,0.815104632|0.18486562|0|2.97474e-05,0.738496772|0|0|0.261503228,0.696239497|0|0|0.303760503,0.876852103|0|0.000660602|0.122487295,0.929763114|0|0.006748998|0.000811503|0.00022276|0.000627448|0.061826177,0.907135123|0|0|0.022220399|0.021217692|0|0.049426786,0.652429432|0.027546441|0.048273522|0.136940253|0.018077242|0.009682151|0.107050959,0.145467245|0.016692993|0.016407692|0.821432071,0.767155016|0|0|0.232844984,0.77379293|0.026298151|0.011910192|0.187998727,0.9938968428|0|0|4.50006e-06|0|5.68222e-05|0.006041835,0.716912755|0|0.259148837|0|0.008921477|0.000923509|0.014093422,0.557052958|0.013297127|0.156625677|0.038321657|0.08426429|0.049381212|0.101057079,0.758307536|0.011947179|0.049717482|0.047058616|0.132969186,0.659574956|0.030369296|0.075362821|0.072742155|0.16195077,0.9991983645|0|0.000801619|0|1.72288e-08,0.612161891|0|0.331459485|0.010254455|0.023517214|0.022606954,0.640527992|0.032880776|0.062203962|0.073606582|0.190780687
Medulla +O2 24 hrs 13C,Med +O2 24 hrs,Labeled,Isotopologues,0|0|0|0,0.095142791|0.054724687|0.300547842|0.549584679,0.779249363|0|0.017665467|0.203085171,0.937977344|0|0.00035661|0.061666046,0.981332314|0|0.000464117|5.53957e-05|0|5.42609e-05|0.018093912,0.7585491793|0|0.233585296|0|0.005046959|0.002818565|0,0.958601679|0|0.026647987|0.008402309|0.000244013|0|0.006104013,0.218760018|0.047644024|0.035597257|0.697998701,0.9016965|0|0|0.0983035,0.942012427|0.002636169|0.001226664|0.05412474,0.980352344|0|0|0.000109751|7.00808e-05|0|0.019467824,0.7035223385|0|0.294185518|0|0.002291896|0|2.4744e-07,0.942202625|0|0.012882111|0.003492085|0.013990041|0|0.027433139,0.899853831|0|0.045635314|0.018618731|0.035892124,0.79526964|0.03028572|0.05259615|0.04254353|0.079304961,0.9991983645|0|0.000801619|0|1.72288e-08,0.527032332|0|0.342393928|0.009598867|0.109241506|0.011733368,0.786049088|0.147610695|0.015497025|0.032581304|0.018261887
Cortex -O2 24 hrs 13C,Cor -O2 24 hrs,Labeled,Abund,0,366476.1683,3543437.344,691142852.1,272259426,4457666.793,338279492.4,18915950867,1309154.57,479457612.4,4511573038,4155762.568,12504088.2,215548039,2278409837,238232.8281,38437613.48,5818642073
Medulla -O2 24 hrs 13C,Med -O2 24 hrs,Labeled,Abund,24391.49463,3064156.756,31515155.92,317693706.3,1188664689,1489958.616,730878147.2,8562598427,22707962.92,477628080.9,2677989331,9525375.75,67470320.23,450233058.3,4441707531,660203.3578,548048102.8,1807739993
Cortex +O2 24 hrs 13C,Cor +O2 24 hrs,Labeled,Abund,26315.44797,705849.6868,6967501.456,230666422,197513364.5,327603.2445,421736258.5,9682402174,4871473.282,380575766.8,1923277186,3620448.686,12411046.61,19046059.55,176813657.3,85906.45894,39436922.43,2102173268
Medulla +O2 24 hrs 13C,Med +O2 24 hrs,Labeled,Abund,0,172786.1089,618518.1541,529999056.4,262162054.9,3068089.121,182984996.1,17691205343,268065.1031,276850084.9,154838336.4,3762919.025,6190066.256,10086808.35,81704326.66,210891.288,38902238.78,14850354839
