Sample,Glucose,L-Lactic acid,Oxoglutaric acid,Glycine,L-Glutamine,L-Serine,L-Alanine,L-Glutamic acid
B02L_T0,1.35E+09,1.46E+09,3.11E+07,6.30E+06,1.28E+09,5.91E+06,1.39E+07,6.43E+07
B02L_T60,1.17E+09,8.52E+09,2.41E+08,2.85E+07,7.55E+08,3.63E+07,9.01E+07,2.93E+08
B02L_T120,1.14E+09,1.24E+10,2.84E+08,3.89E+07,5.18E+08,9.49E+07,1.64E+08,3.74E+08
B02L_T180,1.04E+09,1.49E+10,2.06E+08,4.28E+07,3.34E+08,1.39E+08,2.16E+08,3.57E+08
B02L_T240,9.20E+08,2.00E+10,1.61E+08,4.51E+07,3.35E+08,1.53E+08,2.69E+08,3.40E+08
B02R_T0,1.36E+09,1.41E+09,2.96E+07,5.65E+06,1.28E+09,5.46E+06,1.45E+07,6.23E+07
B02R_T60,1.21E+09,8.04E+09,2.57E+08,2.77E+07,8.56E+08,3.09E+07,8.41E+07,2.99E+08
B02R_T120,1.18E+09,1.29E+10,3.54E+08,3.79E+07,7.32E+08,6.69E+07,1.36E+08,4.41E+08
B02R_T180,1.05E+09,1.52E+10,4.06E+08,4.03E+07,6.23E+08,9.57E+07,1.69E+08,4.98E+08
B02R_T240,1.03E+09,1.93E+10,3.73E+08,4.40E+07,6.15E+08,1.16E+08,2.18E+08,5.46E+08
B03L_T0,1.38E+09,1.21E+09,2.04E+07,5.19E+06,1.35E+09,4.97E+06,1.28E+07,6.44E+07
B03L_T60,1.60E+09,1.46E+09,1.81E+08,4.93E+07,6.40E+08,1.89E+08,2.62E+07,3.36E+08
B03L_T120,1.62E+09,4.36E+09,1.58E+08,5.29E+07,1.13E+08,2.12E+08,6.94E+07,1.22E+08
B03L_T180,1.35E+09,8.19E+09,1.34E+08,5.32E+07,6.67E+07,1.75E+08,8.89E+07,1.14E+08
B03L_T240,1.06E+09,9.30E+09,9.97E+07,5.23E+07,7.21E+07,1.56E+08,9.28E+07,1.13E+08
B03R_T0,1.17E+09,2.71E+09,7.53E+07,6.51E+06,1.38E+09,6.55E+06,1.87E+07,7.49E+07
B03R_T60,1.31E+09,2.56E+09,5.18E+08,3.16E+07,4.27E+08,1.50E+08,4.33E+07,3.16E+08
B03R_T120,1.30E+09,4.46E+09,1.91E+08,3.44E+07,2.19E+08,1.63E+08,5.29E+07,1.69E+08
B03R_T180,1.15E+09,1.02E+10,1.65E+08,3.97E+07,1.69E+08,1.66E+08,9.62E+07,1.42E+08
B03R_T240,9.90E+08,1.56E+10,1.57E+08,4.51E+07,1.27E+08,1.75E+08,1.44E+08,1.49E+08
B04L_T0,1.39E+09,1.31E+09,2.00E+07,4.58E+06,1.38E+09,4.18E+06,1.34E+07,6.44E+07
B04L_T60,1.48E+09,1.65E+09,1.32E+08,4.24E+07,5.07E+08,2.30E+08,3.72E+07,4.31E+08
B04L_T120,1.48E+09,3.72E+09,7.57E+07,5.22E+07,2.60E+08,2.89E+08,9.97E+07,1.36E+08
B04L_T180,1.30E+09,7.82E+09,8.54E+07,5.59E+07,6.70E+07,2.83E+08,1.43E+08,1.09E+08
B04L_T240,1.01E+09,1.04E+10,8.21E+07,5.97E+07,8.83E+07,2.94E+08,1.62E+08,1.28E+08
B04R_T0,1.28E+09,2.19E+09,6.69E+07,5.85E+06,1.22E+09,6.40E+06,1.93E+07,6.94E+07
B04R_T60,1.24E+09,2.24E+09,4.38E+08,3.10E+07,3.88E+08,1.80E+08,4.21E+07,3.77E+08
B04R_T120,1.01E+09,5.25E+09,2.74E+08,3.29E+07,1.30E+08,2.06E+08,6.86E+07,1.62E+08
B04R_T180,7.20E+08,9.05E+09,1.92E+08,3.52E+07,1.21E+08,2.00E+08,1.08E+08,1.35E+08
B04R_T240,4.70E+08,1.28E+10,1.52E+08,4.04E+07,1.00E+08,2.11E+08,1.62E+08,1.55E+08
B05L_T0,1.23E+09,1.11E+09,1.77E+07,4.49E+06,1.32E+09,4.37E+06,1.40E+07,6.25E+07
B05L_T60,5.40E+08,6.51E+08,3.46E+07,1.93E+07,3.62E+08,1.22E+08,1.07E+07,2.53E+08
B05L_T120,1.42E+09,2.78E+09,6.30E+07,5.50E+07,4.82E+08,3.05E+08,7.63E+07,1.63E+08
B05L_T180,1.25E+09,7.41E+09,7.88E+07,5.87E+07,1.85E+08,3.03E+08,1.51E+08,1.36E+08
B05L_T240,9.91E+08,1.29E+10,9.75E+07,6.33E+07,1.28E+08,3.08E+08,2.16E+08,1.44E+08
B05R_T0,1.28E+09,2.21E+09,4.06E+07,5.85E+06,1.21E+09,6.48E+06,1.92E+07,6.99E+07
B05R_T60,1.33E+09,5.64E+09,1.10E+09,2.83E+07,5.60E+08,1.63E+08,9.16E+07,3.61E+08
B05R_T120,1.29E+09,8.16E+09,4.87E+08,3.35E+07,4.75E+08,1.92E+08,1.10E+08,3.10E+08
B05R_T180,9.61E+08,1.50E+10,4.08E+08,3.72E+07,4.40E+08,1.93E+08,1.61E+08,2.76E+08
B05R_T240,7.34E+08,2.18E+10,5.20E+08,4.01E+07,4.23E+08,1.96E+08,2.16E+08,2.72E+08
B06L_T0,1.47E+09,1.38E+09,3.55E+07,4.37E+06,1.39E+09,4.88E+06,1.51E+07,6.42E+07
B06L_T60,1.15E+09,8.69E+09,1.08E+09,3.88E+07,4.97E+08,8.48E+07,1.04E+08,4.54E+08
B06L_T120,1.09E+09,1.16E+10,1.15E+09,4.63E+07,2.62E+08,1.30E+08,1.44E+08,5.77E+08
B06L_T180,9.99E+08,1.52E+10,7.57E+08,4.76E+07,1.73E+08,1.44E+08,1.88E+08,5.49E+08
B06L_T240,8.62E+08,2.11E+10,5.38E+08,4.93E+07,2.00E+08,1.52E+08,2.38E+08,5.18E+08
B06R_T0,1.23E+09,2.02E+09,5.15E+07,5.25E+06,1.30E+09,4.60E+06,1.51E+07,6.80E+07
B06R_T60,1.28E+09,3.12E+09,1.09E+09,3.16E+07,3.43E+08,1.59E+08,6.67E+07,4.07E+08
B06R_T120,1.37E+09,4.93E+09,7.07E+08,3.60E+07,1.85E+08,1.91E+08,7.17E+07,3.74E+08
B06R_T180,1.07E+09,1.22E+10,5.83E+08,3.76E+07,1.52E+08,1.82E+08,1.29E+08,2.62E+08
B06R_T240,7.38E+08,1.87E+10,4.67E+08,4.07E+07,1.66E+08,1.84E+08,1.87E+08,2.44E+08
