Sample,01_Glycolysis,Phosphoenolpyruvic_acid_PARENT,Phosphoenolpyruvic_acid_C13-label-1,Phosphoenolpyruvic_acid_C13-label-2,Phosphoenolpyruvic_acid_C13-label-3,L-Lactic_acid_PARENT,L-Lactic_acid_C13-label-1,L-Lactic_acid_C13-label-2,L-Lactic_acid_C13-label-3,3-Phosphoglyceric_acid_PARENT,3-Phosphoglyceric_acid_C13-label-1,3-Phosphoglyceric_acid_C13-label-2,3-Phosphoglyceric_acid_C13-label-3,Dihydroxyacetone_phosphate_PARENT,Dihydroxyacetone_phosphate_C13-label-1,Dihydroxyacetone_phosphate_C13-label-2,Dihydroxyacetone_phosphate_C13-label-3,"Fructose 1,6-bisphosphate_PARENT","Fructose 1,6-bisphosphate_C13-label-1","Fructose 1,6-bisphosphate_C13-label-2","Fructose 1,6-bisphosphate_C13-label-3","Fructose 1,6-bisphosphate_C13-label-4","Fructose 1,6-bisphosphate_C13-label-5","Fructose 1,6-bisphosphate_C13-label-6",Hexose_PARENT,Hexose_C13-label-1,Hexose_C13-label-2,Hexose_C13-label-3,Hexose_C13-label-4,Hexose_C13-label-5,Hexose_C13-label-6,Hexose-phosphate_PARENT,Hexose-phosphate_C13-label-1,Hexose-phosphate_C13-label-2,Hexose-phosphate_C13-label-3,Hexose-phosphate_C13-label-4,Hexose-phosphate_C13-label-5,Hexose-phosphate_C13-label-6,Pyruvic_acid_PARENT,Pyruvic_acid_C13-label-1,Pyruvic_acid_C13-label-2,Pyruvic_acid_C13-label-3,02_Krebs Cycle,Fumaric_acid_PARENT,Fumaric_acid_C13-label-1,Fumaric_acid_C13-label-2,Fumaric_acid_C13-label-3,Fumaric_acid_C13-label-4,Citric_acid_PARENT,Citric_acid_C13-label-1,Citric_acid_C13-label-2,Citric_acid_C13-label-3,Citric_acid_C13-label-4,Citric_acid_C13-label-5,Citric_acid_C13-label-6,L-Malic_acid_PARENT,L-Malic_acid_C13-label-1,L-Malic_acid_C13-label-2,L-Malic_acid_C13-label-3,L-Malic_acid_C13-label-4,Oxoglutaric_acid_PARENT,Oxoglutaric_acid_C13-label-1,Oxoglutaric_acid_C13-label-2,Oxoglutaric_acid_C13-label-3,Oxoglutaric_acid_C13-label-4,Oxoglutaric_acid_C13-label-5,03_Amino Acids,Glycine_PARENT,Glycine_C13-label-1,Glycine_C13-label-2,L-Alanine_PARENT,L-Alanine_C13-label-1,L-Alanine_C13-label-2,L-Alanine_C13-label-3,L-Serine_PARENT,L-Serine_C13-label-1,L-Serine_C13-label-2,L-Serine_C13-label-3,09_Others,Glycerol_3-phosphate_PARENT,Glycerol_3-phosphate_C13-label-1,Glycerol_3-phosphate_C13-label-2,Glycerol_3-phosphate_C13-label-3,Acetyl-CoA_PARENT,Acetyl-CoA_C13-label-1,Acetyl-CoA_C13-label-2,Acetyl-CoA_C13-label-3,Acetyl-CoA_C13-label-4,Acetyl-CoA_C13-label-5,Acetyl-CoA_C13-label-6,Acetyl-CoA_C13-label-7,Acetyl-CoA_C13-label-8,Acetyl-CoA_C13-label-9,Acetyl-CoA_C13-label-10,Acetyl-CoA_C13-label-11,Acetyl-CoA_C13-label-12,Acetyl-CoA_C13-label-13,Acetyl-CoA_C13-label-14,Acetyl-CoA_C13-label-15,Acetyl-CoA_C13-label-16,Acetyl-CoA_C13-label-17,Acetyl-CoA_C13-label-18,Acetyl-CoA_C13-label-19,Acetyl-CoA_C13-label-20,Acetyl-CoA_C13-label-21,Acetyl-CoA_C13-label-22,Acetyl-CoA_C13-label-23,Coenzyme_A_PARENT,Coenzyme_A_C13-label-1,Coenzyme_A_C13-label-2,Coenzyme_A_C13-label-3,Coenzyme_A_C13-label-4,Coenzyme_A_C13-label-5,Coenzyme_A_C13-label-6,Coenzyme_A_C13-label-7,Coenzyme_A_C13-label-8,Coenzyme_A_C13-label-9,Coenzyme_A_C13-label-10,Coenzyme_A_C13-label-11,Coenzyme_A_C13-label-12,Coenzyme_A_C13-label-13,Coenzyme_A_C13-label-14,Coenzyme_A_C13-label-15,Coenzyme_A_C13-label-16,Coenzyme_A_C13-label-17,Coenzyme_A_C13-label-18,Coenzyme_A_C13-label-19,Coenzyme_A_C13-label-20,Coenzyme_A_C13-label-21
Sample01,,6.00%,-0.21%,-0.07%,94.29%,5.73%,0.29%,4.17%,89.82%,7.46%,-0.20%,3.30%,89.43%,6.07%,-0.06%,3.65%,90.34%,1.39%,-0.03%,0.07%,2.77%,0.29%,7.65%,87.86%,32.58%,-0.19%,-0.40%,0.01%,0.46%,5.47%,62.07%,17.74%,-0.26%,-0.34%,0.00%,0.00%,6.33%,76.52%,7.07%,0.23%,3.85%,88.85%,,46.47%,3.60%,20.89%,17.37%,11.68%,19.41%,1.48%,31.80%,6.95%,18.71%,14.49%,7.17%,41.50%,4.00%,22.22%,19.35%,12.93%,36.37%,2.27%,19.92%,11.73%,17.76%,11.95%,,87.09%,0.48%,12.43%,36.07%,0.31%,2.19%,61.42%,50.96%,21.02%,8.64%,19.38%,,41.77%,-0.30%,1.94%,56.59%,0.26%,-0.07%,0.63%,0.00%,0.12%,12.07%,10.72%,49.00%,26.44%,2.85%,-2.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.12%,-1.29%,-0.26%,0.00%,0.00%,67.60%,33.57%,-0.42%,-4.29%,-0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sample02,,7.13%,-0.25%,-0.08%,93.21%,5.93%,0.28%,4.15%,89.64%,8.02%,-0.29%,3.11%,89.16%,6.73%,-0.05%,3.63%,89.69%,0.73%,-0.03%,0.11%,2.94%,0.27%,7.64%,88.35%,38.31%,-0.25%,-0.47%,0.01%,0.42%,4.97%,57.02%,17.73%,-0.19%,-0.34%,0.00%,0.00%,6.43%,76.37%,8.30%,0.32%,3.78%,87.60%,,44.69%,3.64%,20.43%,18.17%,13.08%,17.15%,1.57%,30.77%,7.63%,19.49%,15.44%,7.95%,41.11%,4.16%,20.93%,19.57%,14.24%,32.87%,2.25%,20.03%,12.52%,18.90%,13.44%,,84.82%,0.19%,14.99%,38.76%,0.20%,2.26%,58.77%,51.09%,22.28%,8.48%,18.15%,,39.89%,-0.25%,1.94%,58.42%,0.12%,-0.03%,1.01%,0.00%,1.10%,14.77%,10.14%,45.23%,25.63%,2.44%,-0.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.43%,-0.61%,-0.12%,0.00%,0.00%,69.55%,35.17%,-3.17%,-3.28%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sample03,,5.43%,-0.19%,-0.06%,94.83%,5.81%,0.28%,4.16%,89.75%,6.60%,-0.18%,3.61%,89.97%,5.56%,0.00%,3.86%,90.59%,0.61%,-0.03%,0.11%,2.96%,0.28%,7.59%,88.47%,37.91%,-0.24%,-0.47%,0.02%,0.42%,5.07%,57.29%,17.95%,-0.23%,-0.34%,0.00%,0.00%,6.30%,76.32%,7.67%,0.29%,3.84%,88.19%,,45.82%,3.96%,19.68%,17.31%,13.23%,15.57%,1.56%,31.86%,7.65%,19.98%,15.34%,8.03%,41.01%,4.21%,21.20%,19.39%,14.19%,33.80%,2.33%,18.83%,12.43%,18.95%,13.66%,,84.74%,0.30%,14.96%,39.67%,0.16%,2.40%,57.77%,50.88%,22.47%,8.36%,18.29%,,39.49%,-0.28%,1.96%,58.82%,0.00%,0.11%,0.75%,0.00%,0.28%,13.53%,11.48%,45.80%,25.11%,3.45%,-0.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.34%,-0.34%,-0.07%,0.00%,0.00%,64.99%,37.15%,0.49%,-3.24%,-0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sample04,,104.92%,-3.74%,-1.19%,0.02%,99.51%,-0.01%,0.02%,0.47%,102.46%,-1.33%,-1.37%,0.24%,101.68%,-0.60%,-1.09%,0.00%,101.61%,-0.45%,-2.58%,-0.03%,0.03%,0.09%,1.33%,101.61%,-0.46%,-1.31%,-0.02%,0.01%,0.00%,0.17%,102.78%,-0.81%,-1.98%,-0.02%,0.02%,0.00%,0.01%,99.52%,0.09%,-0.01%,0.40%,,100.44%,-0.39%,-0.05%,0.00%,0.00%,97.36%,-0.43%,0.41%,0.35%,1.10%,0.82%,0.39%,99.90%,0.08%,-0.02%,0.00%,0.03%,100.13%,-0.02%,-0.12%,0.00%,0.00%,0.00%,,100.09%,-0.08%,-0.01%,100.36%,-0.33%,-0.03%,0.00%,100.27%,-0.24%,-0.03%,0.00%,,101.80%,-0.58%,-1.20%,-0.01%,113.41%,-3.22%,-10.92%,0.00%,0.63%,-0.01%,-0.03%,0.13%,0.04%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,118.94%,-9.18%,-9.71%,0.00%,0.00%,-0.02%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sample05,,16.45%,-0.59%,-0.19%,84.33%,24.29%,1.53%,4.65%,69.53%,17.18%,-0.33%,3.48%,79.66%,17.11%,-0.46%,3.07%,80.28%,38.97%,-1.43%,-0.77%,1.26%,-0.04%,3.97%,58.03%,19.66%,-0.16%,-0.24%,0.00%,0.60%,6.44%,73.70%,34.32%,-0.54%,-0.65%,0.00%,0.01%,5.12%,61.74%,18.37%,1.69%,5.07%,74.87%,,73.90%,3.49%,16.04%,5.51%,1.07%,33.94%,4.31%,42.13%,4.92%,10.20%,3.82%,0.68%,70.36%,4.36%,17.61%,6.27%,1.40%,88.18%,1.50%,5.51%,1.97%,2.37%,0.47%,,79.52%,0.55%,19.93%,46.12%,1.78%,3.03%,49.08%,53.13%,10.19%,7.15%,29.53%,,59.98%,-0.53%,0.97%,39.58%,5.68%,-1.57%,1.01%,0.00%,0.68%,15.58%,18.77%,40.87%,16.20%,4.91%,-2.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,49.15%,-10.55%,-2.90%,0.00%,0.00%,42.72%,29.57%,-8.12%,-2.15%,2.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sample06,,16.41%,-0.59%,-0.19%,84.36%,28.92%,1.45%,4.36%,65.27%,16.67%,0.00%,3.43%,79.91%,17.33%,-0.48%,3.71%,79.44%,18.69%,-1.12%,0.04%,2.12%,-0.05%,5.50%,74.81%,26.62%,-0.16%,-0.33%,0.01%,0.55%,5.88%,67.42%,34.22%,-0.49%,-0.65%,0.00%,0.01%,4.92%,61.99%,19.61%,1.78%,4.84%,73.78%,,72.99%,3.75%,16.46%,5.65%,1.14%,28.85%,4.93%,45.41%,5.29%,10.84%,4.05%,0.63%,69.51%,4.56%,17.93%,6.54%,1.46%,87.49%,1.75%,5.66%,2.14%,2.39%,0.57%,,75.35%,0.37%,24.28%,46.86%,1.67%,3.26%,48.22%,45.47%,12.68%,7.75%,34.09%,,60.11%,-0.52%,0.76%,39.65%,0.58%,-0.16%,1.50%,0.00%,0.31%,16.48%,16.04%,37.24%,25.17%,4.57%,-1.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.68%,-1.09%,-1.03%,0.00%,0.00%,57.69%,39.49%,-8.70%,0.65%,1.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sample07,,15.85%,-0.57%,-0.18%,84.90%,29.12%,1.42%,4.38%,65.09%,15.97%,-0.30%,3.75%,80.59%,16.69%,-0.32%,3.45%,80.18%,15.48%,-0.89%,-0.09%,2.53%,-0.10%,6.33%,76.75%,28.81%,-0.20%,-0.36%,0.01%,0.53%,5.74%,65.47%,35.88%,-0.51%,-0.68%,0.00%,0.01%,4.86%,60.44%,20.25%,1.80%,4.88%,73.07%,,73.51%,3.89%,16.02%,5.43%,1.15%,27.50%,5.01%,46.65%,5.32%,11.02%,3.94%,0.57%,69.95%,4.50%,17.80%,6.36%,1.39%,89.41%,1.79%,4.22%,1.65%,2.53%,0.40%,,78.14%,0.49%,21.37%,47.51%,1.68%,3.55%,47.27%,50.38%,11.62%,7.48%,30.51%,,60.28%,-0.40%,0.81%,39.31%,0.45%,0.11%,1.80%,0.00%,0.60%,17.63%,17.41%,41.07%,19.09%,3.13%,-1.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.73%,-1.45%,-0.29%,0.00%,0.00%,74.82%,29.33%,-5.28%,-3.15%,0.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sample08,,104.92%,-3.74%,-1.19%,0.02%,99.33%,0.02%,0.01%,0.65%,102.49%,-1.27%,-1.42%,0.20%,102.12%,-1.71%,-0.39%,-0.02%,95.34%,-2.14%,-2.08%,-0.01%,0.03%,0.03%,8.82%,101.67%,-0.44%,-1.33%,-0.01%,0.01%,0.00%,0.11%,103.28%,-1.34%,-1.96%,-0.01%,0.02%,0.00%,0.00%,99.52%,0.10%,-0.02%,0.40%,,100.50%,-0.44%,-0.06%,0.00%,0.00%,94.29%,-0.30%,3.59%,0.43%,1.52%,0.44%,0.04%,99.98%,-0.08%,-0.01%,0.00%,0.10%,100.60%,-0.50%,-0.10%,0.00%,0.00%,0.00%,,100.37%,-0.36%,-0.01%,100.60%,-0.58%,-0.02%,0.00%,99.81%,0.23%,-0.04%,0.00%,,102.07%,-0.87%,-1.20%,0.00%,121.04%,-10.93%,-10.63%,0.00%,0.59%,-0.04%,-0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,138.42%,-30.28%,-8.04%,0.00%,0.00%,-0.10%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sample09,,0.00%,0.00%,0.00%,100.00%,6.65%,0.08%,3.81%,89.46%,1.88%,-0.02%,3.10%,95.04%,2.08%,-0.07%,4.04%,93.95%,0.91%,-0.06%,0.00%,0.17%,0.25%,7.60%,91.13%,18.36%,-0.12%,-0.23%,0.00%,0.48%,6.63%,74.89%,17.25%,-0.38%,-0.32%,0.00%,0.00%,6.53%,76.92%,12.12%,0.32%,3.25%,84.31%,,101.26%,-1.23%,-0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,98.54%,-0.28%,0.07%,1.07%,0.60%,100.19%,-0.08%,-0.12%,0.00%,0.00%,0.00%,,99.66%,-0.24%,0.58%,44.25%,-0.65%,2.00%,54.40%,97.23%,1.20%,1.02%,0.55%,,40.44%,-0.13%,2.04%,57.66%,78.82%,-16.99%,-4.89%,0.00%,0.24%,56.16%,-10.48%,-3.75%,0.74%,0.19%,-0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,114.07%,-28.83%,-5.69%,0.00%,0.00%,27.03%,-5.36%,-1.68%,0.36%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sample10,,0.40%,-0.01%,-0.01%,99.62%,4.88%,0.08%,3.89%,91.15%,1.26%,-0.05%,3.52%,95.27%,2.04%,-0.07%,4.09%,93.95%,0.79%,-0.05%,-0.01%,0.12%,0.25%,7.79%,91.10%,18.56%,-0.15%,-0.23%,0.00%,0.48%,6.68%,74.65%,15.32%,-0.39%,-0.28%,0.00%,0.00%,6.34%,79.00%,13.26%,0.47%,3.09%,83.18%,,101.59%,-1.56%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,98.44%,-0.27%,0.04%,1.05%,0.73%,100.50%,-0.41%,-0.11%,0.00%,0.00%,0.02%,,100.13%,-0.50%,0.37%,44.80%,-0.41%,1.26%,54.35%,97.59%,0.90%,1.01%,0.49%,,41.90%,-0.16%,1.97%,56.29%,80.25%,-18.59%,-3.10%,0.00%,0.14%,56.01%,-12.34%,-3.34%,0.85%,0.16%,-0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,111.23%,-28.11%,-5.54%,0.00%,0.00%,29.65%,-5.87%,-1.84%,0.40%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sample11,,0.00%,0.00%,0.00%,100.00%,7.09%,0.08%,3.84%,88.99%,0.81%,-0.03%,3.04%,96.18%,2.21%,-0.08%,4.15%,93.71%,0.70%,-0.04%,0.00%,0.16%,0.23%,7.75%,91.20%,22.65%,-0.14%,-0.28%,0.00%,0.46%,6.26%,71.05%,16.75%,-0.36%,-0.31%,0.00%,0.00%,6.45%,77.47%,12.30%,0.43%,2.94%,84.33%,,101.41%,-1.38%,-0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,98.64%,-0.30%,0.05%,0.98%,0.64%,100.42%,-0.46%,-0.10%,0.12%,0.00%,0.02%,,99.77%,-0.17%,0.40%,45.11%,-0.54%,1.61%,53.82%,97.51%,1.10%,0.91%,0.48%,,42.18%,-0.14%,1.97%,55.99%,85.59%,-18.82%,-4.18%,0.00%,0.20%,46.77%,-6.65%,-3.55%,0.49%,0.19%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,103.65%,-18.47%,-7.03%,0.00%,0.00%,28.90%,-5.73%,-1.79%,0.39%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sample12,,104.92%,-3.74%,-1.19%,0.02%,99.56%,-0.01%,0.02%,0.43%,102.66%,-2.32%,-1.31%,0.97%,102.07%,-1.40%,-0.68%,0.01%,101.23%,-0.73%,-2.54%,-0.03%,0.03%,0.10%,1.95%,101.50%,-0.38%,-1.24%,-0.02%,0.01%,0.00%,0.13%,103.17%,-1.23%,-1.96%,-0.01%,0.02%,0.01%,0.01%,98.47%,0.05%,-0.04%,1.52%,,101.09%,-1.05%,-0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.62%,-0.30%,-0.06%,0.00%,0.74%,100.54%,-0.48%,-0.10%,0.00%,0.00%,0.04%,,100.50%,-0.49%,-0.01%,100.70%,-0.68%,-0.02%,0.00%,99.93%,0.10%,-0.04%,0.00%,,101.56%,-0.37%,-1.22%,0.03%,136.53%,-28.01%,-8.85%,0.00%,0.44%,-0.10%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,139.10%,-31.06%,-7.92%,0.00%,0.00%,-0.10%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
